04:26:41 start free=75% swap=0MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python run_battery.py tiiuae/Falcon-H1-Tiny-90M-Instruct --device cpu --sets new,old,khard
04:27:11 t=   30s free=75% swap=0MB rss=3042MB
04:27:41 t=   60s free=75% swap=0MB rss=2140MB
04:28:11 t=   90s free=75% swap=0MB rss=2027MB
04:28:41 t=  120s free=75% swap=0MB rss=2178MB
04:29:11 t=  150s free=75% swap=0MB rss=2223MB
04:29:41 t=  181s free=75% swap=0MB rss=2174MB
04:30:11 t=  211s free=75% swap=0MB rss=3041MB
04:30:41 t=  241s free=75% swap=0MB rss=2123MB
04:31:12 t=  271s free=75% swap=0MB rss=2893MB
04:31:42 t=  301s free=75% swap=0MB rss=1984MB
04:32:12 t=  331s free=75% swap=0MB rss=3004MB
04:32:42 t=  361s free=75% swap=0MB rss=1981MB
04:33:12 t=  391s free=75% swap=0MB rss=4078MB
04:33:42 t=  421s free=75% swap=0MB rss=4150MB
04:34:12 t=  451s free=75% swap=0MB rss=4195MB
04:34:42 t=  482s free=75% swap=0MB rss=2696MB
04:35:12 t=  512s free=75% swap=0MB rss=4048MB
04:35:17 end exit=-15 killed=None min_free=75% max_swap=0MB peak_rss=4195MB
