02:19:03 start free=79% swap=0MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python run_battery.py LiquidAI/LFM2.5-230M --sets new,old,khard
02:19:33 t=   30s free=70% swap=0MB rss=768MB
02:20:03 t=   60s free=70% swap=0MB rss=809MB
02:20:33 t=   90s free=70% swap=0MB rss=839MB
02:21:03 t=  120s free=70% swap=0MB rss=839MB
02:21:33 t=  150s free=70% swap=0MB rss=858MB
02:22:03 t=  180s free=74% swap=0MB rss=862MB
02:22:33 t=  211s free=70% swap=0MB rss=862MB
02:23:03 t=  241s free=70% swap=0MB rss=862MB
02:23:33 t=  271s free=70% swap=0MB rss=863MB
02:24:03 t=  301s free=70% swap=0MB rss=863MB
02:24:33 t=  331s free=70% swap=0MB rss=863MB
02:25:03 t=  361s free=70% swap=0MB rss=863MB
02:25:34 t=  391s free=74% swap=0MB rss=867MB
02:26:04 t=  421s free=70% swap=0MB rss=867MB
02:26:34 t=  451s free=70% swap=0MB rss=877MB
02:27:04 t=  481s free=79% swap=0MB rss=0MB
02:27:04 end exit=0 killed=None min_free=70% max_swap=0MB peak_rss=877MB
