03:41:07 start free=76% swap=0MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python run_battery.py maxgpt3:final --sets new,old,khard
03:41:37 t=   30s free=67% swap=0MB rss=527MB
03:42:07 t=   60s free=67% swap=0MB rss=616MB
03:42:37 t=   90s free=67% swap=0MB rss=688MB
03:43:07 t=  120s free=67% swap=0MB rss=702MB
03:43:38 t=  150s free=67% swap=0MB rss=704MB
03:44:08 t=  181s free=67% swap=0MB rss=707MB
03:44:38 t=  211s free=67% swap=0MB rss=709MB
03:45:08 t=  241s free=67% swap=0MB rss=713MB
03:45:38 t=  271s free=68% swap=0MB rss=716MB
03:46:08 t=  301s free=68% swap=0MB rss=719MB
03:46:38 t=  331s free=72% swap=0MB rss=721MB
03:47:08 t=  361s free=68% swap=0MB rss=724MB
03:47:38 t=  391s free=68% swap=0MB rss=727MB
03:48:08 t=  421s free=67% swap=0MB rss=731MB
03:48:38 t=  451s free=68% swap=0MB rss=733MB
03:49:08 t=  481s free=68% swap=0MB rss=736MB
03:49:38 t=  511s free=68% swap=0MB rss=738MB
03:50:09 t=  542s free=72% swap=0MB rss=742MB
03:50:39 t=  572s free=68% swap=0MB rss=744MB
03:51:09 t=  602s free=68% swap=0MB rss=746MB
03:51:39 t=  632s free=77% swap=0MB rss=0MB
03:51:39 end exit=0 killed=None min_free=67% max_swap=0MB peak_rss=1237MB
