03:51:39 start free=77% swap=0MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python run_battery.py maxgpt3:final_sft --sets new,old,khard
03:52:09 t=   30s free=68% swap=0MB rss=527MB
03:52:39 t=   60s free=68% swap=0MB rss=616MB
03:53:09 t=   90s free=68% swap=0MB rss=688MB
03:53:39 t=  120s free=68% swap=0MB rss=696MB
03:54:09 t=  150s free=68% swap=0MB rss=699MB
03:54:40 t=  181s free=68% swap=0MB rss=701MB
03:55:10 t=  211s free=68% swap=0MB rss=704MB
03:55:40 t=  241s free=68% swap=0MB rss=707MB
03:56:10 t=  271s free=68% swap=0MB rss=711MB
03:56:40 t=  301s free=68% swap=0MB rss=713MB
03:57:10 t=  331s free=72% swap=0MB rss=716MB
03:57:40 t=  361s free=68% swap=0MB rss=719MB
03:58:10 t=  391s free=68% swap=0MB rss=722MB
03:58:40 t=  421s free=68% swap=0MB rss=725MB
03:59:10 t=  451s free=68% swap=0MB rss=728MB
03:59:40 t=  481s free=68% swap=0MB rss=731MB
04:00:11 t=  511s free=68% swap=0MB rss=733MB
04:00:41 t=  542s free=67% swap=0MB rss=737MB
04:01:11 t=  572s free=68% swap=0MB rss=739MB
04:01:41 t=  602s free=68% swap=0MB rss=742MB
04:02:11 t=  632s free=77% swap=0MB rss=0MB
04:02:11 end exit=0 killed=None min_free=67% max_swap=0MB peak_rss=1237MB
