02:11:56 start free=79% swap=0MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python run_battery.py unsloth/gemma-3-270m-it --sets new
02:12:26 t=   30s free=73% swap=0MB rss=890MB
02:12:56 t=   60s free=68% swap=0MB rss=955MB
02:13:26 t=   90s free=69% swap=0MB rss=1002MB
02:13:56 t=  120s free=73% swap=0MB rss=1002MB
02:14:27 t=  150s free=68% swap=0MB rss=1002MB
02:14:57 t=  180s free=69% swap=0MB rss=1002MB
02:15:27 t=  211s free=74% swap=0MB rss=1003MB
02:15:57 t=  241s free=72% swap=0MB rss=1003MB
02:16:27 t=  271s free=68% swap=0MB rss=1003MB
02:16:57 t=  301s free=69% swap=0MB rss=1011MB
02:17:27 t=  331s free=73% swap=0MB rss=1011MB
02:17:57 t=  361s free=69% swap=0MB rss=1012MB
02:18:27 t=  391s free=69% swap=0MB rss=1012MB
02:18:57 t=  421s free=69% swap=0MB rss=1012MB
02:19:02 end exit=0 killed=None min_free=68% max_swap=0MB peak_rss=1131MB
