01:06:09 start free=78% swap=0MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python run_battery.py LiquidAI/LFM2.5-350M --sets new
01:06:39 t=   30s free=69% swap=0MB rss=705MB
01:07:09 t=   60s free=69% swap=0MB rss=809MB
01:07:39 t=   90s free=69% swap=0MB rss=809MB
01:08:09 t=  120s free=69% swap=0MB rss=838MB
01:08:39 t=  150s free=69% swap=0MB rss=838MB
01:09:10 t=  181s free=69% swap=0MB rss=838MB
01:09:40 t=  211s free=69% swap=0MB rss=838MB
01:10:10 t=  241s free=69% swap=0MB rss=858MB
01:10:40 t=  271s free=69% swap=0MB rss=858MB
01:11:10 t=  301s free=69% swap=0MB rss=861MB
01:11:40 t=  331s free=70% swap=0MB rss=861MB
01:12:10 t=  361s free=70% swap=0MB rss=861MB
01:12:40 t=  391s free=70% swap=0MB rss=862MB
01:13:10 t=  421s free=70% swap=0MB rss=862MB
01:13:40 t=  451s free=70% swap=0MB rss=862MB
01:14:10 t=  481s free=70% swap=0MB rss=862MB
01:14:40 t=  511s free=70% swap=0MB rss=862MB
01:15:10 t=  541s free=70% swap=0MB rss=863MB
01:15:41 t=  572s free=70% swap=0MB rss=863MB
01:16:11 t=  602s free=79% swap=0MB rss=0MB
01:16:11 end exit=0 killed=None min_free=65% max_swap=0MB peak_rss=1219MB
