01:16:11 start free=79% swap=0MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python run_battery.py LiquidAI/LFM2-350M --sets new
01:16:41 t=   30s free=70% swap=0MB rss=704MB
01:17:11 t=   60s free=69% swap=0MB rss=809MB
01:17:41 t=   90s free=70% swap=0MB rss=810MB
01:18:11 t=  120s free=70% swap=0MB rss=838MB
01:18:41 t=  150s free=69% swap=0MB rss=839MB
01:19:11 t=  180s free=70% swap=0MB rss=839MB
01:19:42 t=  211s free=70% swap=0MB rss=839MB
01:20:12 t=  241s free=70% swap=0MB rss=858MB
01:20:42 t=  271s free=70% swap=0MB rss=858MB
01:21:12 t=  301s free=70% swap=0MB rss=861MB
01:21:42 t=  331s free=70% swap=0MB rss=861MB
01:22:12 t=  361s free=70% swap=0MB rss=862MB
01:22:42 t=  391s free=70% swap=0MB rss=862MB
01:23:12 t=  421s free=70% swap=0MB rss=862MB
01:23:42 t=  451s free=70% swap=0MB rss=862MB
01:24:12 t=  481s free=70% swap=0MB rss=862MB
01:24:42 t=  511s free=70% swap=0MB rss=862MB
01:25:12 t=  541s free=70% swap=0MB rss=863MB
01:25:42 t=  571s free=70% swap=0MB rss=863MB
01:26:13 t=  602s free=79% swap=0MB rss=0MB
01:26:13 end exit=0 killed=None min_free=65% max_swap=0MB peak_rss=1086MB
