01:39:30 start free=79% swap=0MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python run_battery.py Qwen/Qwen2.5-0.5B-Instruct --sets new
01:40:00 t=   30s free=67% swap=0MB rss=709MB
01:40:31 t=   60s free=67% swap=0MB rss=749MB
01:41:01 t=   90s free=67% swap=0MB rss=772MB
01:41:31 t=  120s free=67% swap=0MB rss=772MB
01:42:01 t=  150s free=67% swap=0MB rss=793MB
01:42:31 t=  180s free=68% swap=0MB rss=793MB
01:43:01 t=  211s free=68% swap=0MB rss=793MB
01:43:31 t=  241s free=68% swap=0MB rss=793MB
01:44:01 t=  271s free=68% swap=0MB rss=793MB
01:44:31 t=  301s free=68% swap=0MB rss=793MB
01:45:01 t=  331s free=68% swap=0MB rss=793MB
01:45:31 t=  361s free=68% swap=0MB rss=796MB
01:46:01 t=  391s free=68% swap=0MB rss=796MB
01:46:31 t=  421s free=68% swap=0MB rss=796MB
01:47:02 t=  451s free=68% swap=0MB rss=796MB
01:47:32 t=  481s free=68% swap=0MB rss=796MB
01:48:02 t=  511s free=68% swap=0MB rss=797MB
01:48:32 t=  541s free=68% swap=0MB rss=803MB
01:49:02 t=  571s free=68% swap=0MB rss=803MB
01:49:32 t=  602s free=68% swap=0MB rss=804MB
01:50:02 t=  632s free=68% swap=0MB rss=804MB
01:50:32 t=  662s free=68% swap=0MB rss=804MB
01:51:02 t=  692s free=68% swap=0MB rss=804MB
01:51:32 t=  722s free=68% swap=0MB rss=804MB
01:52:02 t=  752s free=68% swap=0MB rss=804MB
01:52:32 t=  782s free=68% swap=0MB rss=804MB
01:52:47 end exit=0 killed=None min_free=63% max_swap=0MB peak_rss=1416MB
