01:00:18 start free=78% swap=0MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python run_battery.py HuggingFaceTB/SmolLM2-135M-Instruct --sets new
01:00:48 t=   30s free=72% swap=0MB rss=777MB
01:01:18 t=   60s free=73% swap=0MB rss=793MB
01:01:48 t=   90s free=73% swap=0MB rss=800MB
01:02:18 t=  120s free=73% swap=0MB rss=800MB
01:02:48 t=  150s free=73% swap=0MB rss=812MB
01:03:18 t=  180s free=72% swap=0MB rss=815MB
01:03:48 t=  211s free=73% swap=0MB rss=815MB
01:04:18 t=  241s free=72% swap=0MB rss=815MB
01:04:48 t=  271s free=73% swap=0MB rss=816MB
01:05:18 t=  301s free=73% swap=0MB rss=816MB
01:05:49 t=  331s free=73% swap=0MB rss=824MB
01:06:09 end exit=0 killed=None min_free=72% max_swap=0MB peak_rss=930MB
