04:02:11 start free=77% swap=0MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python run_chat.py tiiuae/Falcon-H1-Tiny-90M-Instruct --mode greedy
04:02:41 t=   30s free=67% swap=0MB rss=905MB
04:03:11 t=   60s free=60% swap=0MB rss=911MB
04:03:41 t=   90s free=72% swap=0MB rss=916MB
04:04:11 t=  120s free=59% swap=0MB rss=925MB
04:04:42 t=  150s free=60% swap=0MB rss=796MB
04:05:12 t=  181s free=66% swap=0MB rss=376MB
04:05:42 t=  211s free=45% swap=0MB rss=378MB
04:06:12 t=  241s free=65% swap=0MB rss=399MB
04:06:42 t=  271s free=70% swap=0MB rss=404MB
04:07:12 t=  301s free=70% swap=0MB rss=405MB
04:07:42 t=  331s free=71% swap=0MB rss=409MB
04:08:12 t=  361s free=66% swap=0MB rss=409MB
04:08:42 t=  391s free=66% swap=0MB rss=411MB
04:09:12 t=  421s free=71% swap=0MB rss=412MB
04:09:42 t=  451s free=62% swap=0MB rss=413MB
04:10:12 t=  481s free=60% swap=0MB rss=414MB
04:10:22 end exit=0 killed=None min_free=32% max_swap=0MB peak_rss=930MB
