04:10:23 start free=76% swap=0MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python run_chat.py tiiuae/Falcon-H1-Tiny-90M-Instruct --mode sampled --seeds 0 1
04:10:53 t=   30s free=70% swap=0MB rss=769MB
04:11:23 t=   60s free=60% swap=0MB rss=775MB
04:11:53 t=   90s free=60% swap=0MB rss=779MB
04:12:23 t=  120s free=59% swap=0MB rss=785MB
04:12:53 t=  150s free=60% swap=0MB rss=796MB
04:13:23 t=  180s free=71% swap=0MB rss=797MB
04:13:53 t=  211s free=54% swap=0MB rss=775MB
04:14:23 t=  241s free=70% swap=0MB rss=332MB
04:14:54 t=  271s free=70% swap=0MB rss=334MB
04:15:24 t=  301s free=66% swap=0MB rss=336MB
04:15:54 t=  331s free=70% swap=0MB rss=339MB
04:16:24 t=  361s free=70% swap=0MB rss=340MB
04:16:54 t=  391s free=71% swap=0MB rss=341MB
04:17:24 t=  421s free=66% swap=0MB rss=342MB
04:17:54 t=  451s free=66% swap=0MB rss=342MB
04:18:24 t=  481s free=68% swap=0MB rss=345MB
04:18:54 t=  511s free=71% swap=0MB rss=345MB
04:19:24 t=  541s free=59% swap=0MB rss=346MB
04:19:54 t=  572s free=56% swap=0MB rss=346MB
04:20:24 t=  602s free=61% swap=0MB rss=346MB
04:20:54 t=  632s free=66% swap=0MB rss=347MB
04:21:25 t=  662s free=58% swap=0MB rss=347MB
04:21:55 t=  692s free=57% swap=0MB rss=348MB
04:22:25 t=  722s free=60% swap=0MB rss=346MB
04:22:55 t=  752s free=62% swap=0MB rss=348MB
04:23:25 t=  782s free=70% swap=0MB rss=348MB
04:23:55 t=  812s free=70% swap=0MB rss=350MB
04:24:25 t=  842s free=70% swap=0MB rss=351MB
04:24:55 t=  872s free=70% swap=0MB rss=351MB
04:25:25 t=  902s free=65% swap=0MB rss=351MB
04:25:55 t=  933s free=65% swap=0MB rss=352MB
04:26:25 t=  963s free=62% swap=0MB rss=352MB
04:26:40 end exit=0 killed=None min_free=50% max_swap=0MB peak_rss=870MB
