02:29:35 start free=79% swap=0MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python run_chat.py LiquidAI/LFM2.5-230M --mode sampled --seeds 0 1
02:30:05 t=   30s free=74% swap=0MB rss=1087MB
02:30:35 t=   60s free=74% swap=0MB rss=1303MB
02:31:05 t=   90s free=74% swap=0MB rss=1551MB
02:31:35 t=  120s free=74% swap=0MB rss=1551MB
02:32:05 t=  150s free=74% swap=0MB rss=1552MB
02:32:35 t=  181s free=74% swap=0MB rss=1552MB
02:33:05 t=  211s free=74% swap=0MB rss=1552MB
02:33:35 t=  241s free=74% swap=0MB rss=1551MB
02:34:05 t=  271s free=74% swap=0MB rss=1553MB
02:34:36 t=  301s free=74% swap=0MB rss=1553MB
02:35:06 t=  331s free=74% swap=0MB rss=1553MB
02:35:36 t=  361s free=74% swap=0MB rss=1553MB
02:36:01 end exit=0 killed=None min_free=69% max_swap=0MB peak_rss=1554MB
