22:33:40 start free=78% swap=1742MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python -B e004_ft_test.py roneneldan/TinyStories-8M --bs 4 --accum 4 --max-len 768 --grad-ckpt --seed 0 --steps 0 --sets eval,cont,know --tag base
22:34:11 t=   32s active=   32s free=39% swap=1734MB rss=411MB
22:34:42 t=   62s active=   62s free=59% swap=1734MB rss=844MB
22:35:12 t=   93s active=   93s free=55% swap=1726MB rss=897MB
22:35:43 t=  123s active=  123s free=60% swap=1726MB rss=907MB
22:36:13 t=  154s active=  154s free=60% swap=1726MB rss=910MB
22:36:44 t=  184s active=  184s free=60% swap=1726MB rss=913MB
22:37:14 t=  215s active=  215s free=59% swap=1726MB rss=915MB
22:37:45 t=  245s active=  245s free=51% swap=1726MB rss=917MB
22:38:15 t=  276s active=  276s free=53% swap=1726MB rss=1267MB
22:38:46 t=  306s active=  306s free=56% swap=1726MB rss=1395MB
22:39:16 t=  337s active=  337s free=54% swap=1726MB rss=1732MB
22:39:47 t=  367s active=  367s free=55% swap=1726MB rss=2068MB
22:40:17 t=  398s active=  398s free=52% swap=1726MB rss=2069MB
22:40:48 t=  429s active=  429s free=55% swap=1718MB rss=2069MB
22:41:19 t=  459s active=  459s free=54% swap=1718MB rss=2074MB
22:41:49 t=  490s active=  490s free=55% swap=1718MB rss=2074MB
22:41:52 end exit=0 killed=None active=493s paused=0s pauses=0 min_free=39% max_swap=1742MB peak_rss=2074MB
