07:55:19 start free=78% swap=3948MB cmd=/Users/brohm/Documents/Projects/video-editor/.venv/bin/python -B e004_ft_test.py roneneldan/TinyStories-8M --bs 4 --accum 4 --max-len 768 --grad-ckpt --seed 0 --sets dev --save 0 --lr 1e-03 --tag lr1e-03_s0
07:55:50 t=   32s active=   32s free=53% swap=3948MB rss=1264MB
07:56:21 t=   62s active=   62s free=57% swap=3948MB rss=2142MB
07:56:52 t=   93s active=   93s free=58% swap=3940MB rss=2454MB
07:57:22 t=  124s active=  124s free=53% swap=3940MB rss=2141MB
07:57:53 t=  154s active=  154s free=54% swap=3940MB rss=2444MB
07:58:24 t=  185s active=  185s free=56% swap=3932MB rss=1763MB
07:58:54 t=  215s active=  215s free=49% swap=3932MB rss=2146MB
07:59:25 t=  246s active=  246s free=66% swap=3932MB rss=2456MB
07:59:56 t=  277s active=  277s free=47% swap=3932MB rss=1625MB
08:00:26 t=  307s active=  307s free=48% swap=3932MB rss=2177MB
08:00:57 t=  338s active=  338s free=45% swap=3932MB rss=2500MB
08:01:27 t=  369s active=  369s free=51% swap=3932MB rss=2250MB
08:01:58 t=  399s active=  399s free=52% swap=3932MB rss=2395MB
08:02:29 t=  430s active=  430s free=54% swap=3932MB rss=1866MB
08:02:59 t=  460s active=  460s free=51% swap=3932MB rss=2223MB
08:03:30 t=  491s active=  491s free=52% swap=3932MB rss=2405MB
08:04:01 t=  522s active=  522s free=54% swap=3932MB rss=1691MB
08:04:31 t=  552s active=  552s free=51% swap=3932MB rss=2038MB
08:05:02 t=  583s active=  583s free=56% swap=3932MB rss=2269MB
08:05:33 t=  614s active=  614s free=51% swap=3932MB rss=2206MB
08:06:03 t=  644s active=  644s free=51% swap=3932MB rss=2351MB
08:06:34 t=  675s active=  675s free=45% swap=3884MB rss=1281MB
08:07:05 t=  706s active=  706s free=46% swap=3884MB rss=1426MB
08:07:35 t=  736s active=  736s free=71% swap=3884MB rss=1502MB
08:07:39 end exit=0 killed=None active=740s paused=0s pauses=0 min_free=37% max_swap=3948MB peak_rss=2500MB
